hour,day_of_month,month,is_weekend,store_id,product_id,category,temperature,is_rainy,holiday,quantity,revenue
22,2,1,0,S02,COKE,Beverage,23.9,0,0,1,2.09
23,2,1,0,S02,MILK,Dairy,21.1,0,0,1,0.0
0,3,1,0,S02,BREAD,Bakery,30.3,1,0,3,4.03
1,3,1,0,S02,PEPSI,Beverage,27.8,1,0,15,24.66
2,3,1,0,S03,COKE,Beverage,21.0,1,0,18,30.44
3,3,1,0,S01,COKE,Beverage,24.3,1,0,20,30.72
4,3,1,0,S01,PEPSI,Beverage,19.0,0,0,1,2.0
5,3,1,0,S03,PEPSI,Beverage,25.2,0,0,32,38.48
6,3,1,0,S03,PEPSI,Beverage,25.2,0,0,34,46.15
7,3,1,0,S01,COKE,Beverage,26.4,0,0,34,54.67
8,3,1,0,S03,MILK,Dairy,22.4,0,1,30,52.51
9,3,1,0,S03,COKE,Beverage,21.5,0,0,48,65.7
10,3,1,0,S03,MILK,Dairy,21.9,0,1,68,102.51
11,3,1,0,S01,COKE,Beverage,18.3,0,0,54,88.9
12,3,1,0,S02,COKE,Beverage,23.0,0,0,59,86.62
13,3,1,0,S01,BREAD,Bakery,23.8,0,0,50,70.12
14,3,1,0,S02,COKE,Beverage,24.3,1,0,54,68.54
15,3,1,0,S03,MILK,Dairy,30.7,0,0,38,53.15
16,3,1,0,S03,COKE,Beverage,27.3,0,0,37,56.67
17,3,1,0,S03,PEPSI,Beverage,18.7,0,0,57,67.7
18,3,1,0,S01,PEPSI,Beverage,25.3,0,0,61,75.83
19,3,1,0,S01,PEPSI,Beverage,20.3,0,0,46,75.79
20,3,1,0,S01,BREAD,Bakery,25.6,0,0,66,75.76
21,3,1,0,S02,BREAD,Bakery,27.6,1,0,64,52.4
22,3,1,0,S02,PEPSI,Beverage,27.6,0,0,15,22.68
23,3,1,0,S02,COKE,Beverage,20.7,0,0,3,6.56
0,4,1,1,S01,MILK,Dairy,19.3,1,0,9,19.25
1,4,1,1,S03,BREAD,Bakery,25.1,0,0,20,22.53
2,4,1,1,S01,PEPSI,Beverage,27.6,1,0,10,17.43
3,4,1,1,S02,MILK,Dairy,24.1,1,0,4,5.89
4,4,1,1,S02,MILK,Dairy,19.3,0,0,16,20.2
5,4,1,1,S02,BREAD,Bakery,27.2,0,0,22,32.32
6,4,1,1,S01,COKE,Beverage,24.8,0,0,48,62.18
7,4,1,1,S01,PEPSI,Beverage,26.0,0,0,46,64.14
8,4,1,1,S03,BREAD,Bakery,24.7,0,0,38,57.95
9,4,1,1,S02,BREAD,Bakery,29.5,0,0,63,61.62
10,4,1,1,S02,COKE,Beverage,20.9,0,0,72,102.85
11,4,1,1,S03,PEPSI,Beverage,14.6,0,0,59,94.82
12,4,1,1,S01,PEPSI,Beverage,24.3,1,1,76,118.92
13,4,1,1,S01,PEPSI,Beverage,22.1,1,1,88,116.06
14,4,1,1,S02,PEPSI,Beverage,21.5,0,0,54,77.11
15,4,1,1,S03,MILK,Dairy,25.7,0,0,23,36.41
16,4,1,1,S01,PEPSI,Beverage,25.4,0,0,41,60.19
17,4,1,1,S03,BREAD,Bakery,18.5,0,0,61,78.82
18,4,1,1,S01,BREAD,Bakery,25.1,0,0,102,98.49
19,4,1,1,S01,COKE,Beverage,21.2,1,0,42,64.98
20,4,1,1,S02,PEPSI,Beverage,25.2,0,1,71,113.67
21,4,1,1,S01,PEPSI,Beverage,27.6,0,0,74,91.3
22,4,1,1,S03,MILK,Dairy,32.1,0,0,7,13.47
23,4,1,1,S02,BREAD,Bakery,27.6,0,0,6,7.67
0,5,1,1,S01,PEPSI,Beverage,29.6,1,0,1,0.0
1,5,1,1,S02,BREAD,Bakery,21.8,0,0,7,11.01
2,5,1,1,S01,MILK,Dairy,29.0,0,0,1,3.5
3,5,1,1,S03,MILK,Dairy,29.4,0,0,17,36.44
4,5,1,1,S02,BREAD,Bakery,20.8,1,0,20,19.67
5,5,1,1,S02,BREAD,Bakery,25.5,0,1,22,33.65
6,5,1,1,S02,MILK,Dairy,27.4,0,0,38,60.92
7,5,1,1,S01,MILK,Dairy,22.3,0,0,33,61.64
8,5,1,1,S02,MILK,Dairy,25.0,0,0,27,46.49
9,5,1,1,S02,PEPSI,Beverage,31.2,0,0,30,45.55
10,5,1,1,S01,BREAD,Bakery,28.3,0,0,87,95.47
11,5,1,1,S02,BREAD,Bakery,25.5,1,0,53,71.09
12,5,1,1,S02,MILK,Dairy,24.6,0,0,70,84.01
13,5,1,1,S01,COKE,Beverage,26.6,0,0,62,107.85
14,5,1,1,S01,PEPSI,Beverage,24.2,0,0,86,110.51
15,5,1,1,S03,BREAD,Bakery,20.3,0,0,49,58.66
16,5,1,1,S03,BREAD,Bakery,20.6,1,0,47,58.24
17,5,1,1,S02,BREAD,Bakery,27.5,0,0,72,68.6
18,5,1,1,S02,PEPSI,Beverage,29.9,1,0,58,77.61
19,5,1,1,S01,MILK,Dairy,25.2,0,0,72,107.93
20,5,1,1,S01,PEPSI,Beverage,25.1,0,0,65,96.15
21,5,1,1,S03,PEPSI,Beverage,25.5,0,0,63,105.86
22,5,1,1,S02,COKE,Beverage,27.6,0,0,5,10.13
23,5,1,1,S01,MILK,Dairy,23.2,1,0,23,26.28
0,6,1,0,S01,PEPSI,Beverage,23.1,1,0,5,7.05
1,6,1,0,S02,BREAD,Bakery,26.6,0,0,1,0.0
2,6,1,0,S01,COKE,Beverage,22.3,0,0,9,17.46
3,6,1,0,S03,PEPSI,Beverage,27.5,0,1,12,20.62
4,6,1,0,S02,MILK,Dairy,21.4,1,0,6,12.97
5,6,1,0,S03,PEPSI,Beverage,23.0,0,0,6,8.45
6,6,1,0,S02,PEPSI,Beverage,32.7,1,0,33,40.59
7,6,1,0,S03,PEPSI,Beverage,23.3,1,0,23,34.53
8,6,1,0,S02,COKE,Beverage,24.2,0,0,45,65.04
9,6,1,0,S02,BREAD,Bakery,24.0,0,0,38,41.29
10,6,1,0,S02,BREAD,Bakery,21.7,1,0,54,71.52
11,6,1,0,S01,MILK,Dairy,27.2,1,0,20,39.71
12,6,1,0,S03,BREAD,Bakery,21.3,1,0,46,61.13
13,6,1,0,S02,BREAD,Bakery,24.2,0,0,45,56.92
14,6,1,0,S01,BREAD,Bakery,26.0,0,0,61,76.2
15,6,1,0,S03,PEPSI,Beverage,23.6,1,0,38,50.89
16,6,1,0,S02,COKE,Beverage,19.7,0,0,34,44.55
17,6,1,0,S02,PEPSI,Beverage,27.9,0,0,44,49.69
18,6,1,0,S02,COKE,Beverage,31.5,1,0,39,66.72
19,6,1,0,S02,PEPSI,Beverage,25.9,0,0,57,81.23
20,6,1,0,S02,MILK,Dairy,22.7,0,0,34,63.72
21,6,1,0,S01,PEPSI,Beverage,23.7,1,0,42,53.54
22,6,1,0,S01,COKE,Beverage,33.3,0,0,7,12.84
23,6,1,0,S02,MILK,Dairy,26.1,1,0,4,9.02
0,7,1,0,S01,COKE,Beverage,24.3,0,0,17,27.08
1,7,1,0,S02,PEPSI,Beverage,26.6,1,0,8,10.82
2,7,1,0,S03,MILK,Dairy,25.9,0,0,8,9.94
3,7,1,0,S01,PEPSI,Beverage,18.6,0,0,7,11.49
4,7,1,0,S02,COKE,Beverage,27.1,0,0,6,9.38
5,7,1,0,S02,MILK,Dairy,22.8,0,0,4,10.27
6,7,1,0,S03,COKE,Beverage,25.5,0,0,21,36.65
7,7,1,0,S03,COKE,Beverage,27.5,1,0,33,44.59
8,7,1,0,S02,COKE,Beverage,26.3,1,0,24,42.08
9,7,1,0,S02,BREAD,Bakery,21.8,0,0,38,55.53
10,7,1,0,S02,BREAD,Bakery,25.1,0,0,82,67.8
11,7,1,0,S03,MILK,Dairy,23.7,1,0,34,47.91
12,7,1,0,S03,BREAD,Bakery,24.4,0,0,61,63.1
13,7,1,0,S02,COKE,Beverage,25.8,1,1,53,92.9
14,7,1,0,S02,BREAD,Bakery,25.2,0,0,52,78.15
15,7,1,0,S01,PEPSI,Beverage,32.8,1,0,29,33.5
16,7,1,0,S03,BREAD,Bakery,30.2,1,0,37,37.68
17,7,1,0,S02,MILK,Dairy,27.0,1,0,47,50.14
18,7,1,0,S03,COKE,Beverage,22.1,0,0,53,72.25
19,7,1,0,S02,BREAD,Bakery,31.9,1,0,49,47.36
20,7,1,0,S01,BREAD,Bakery,26.9,1,1,66,70.56
21,7,1,0,S01,COKE,Beverage,26.5,1,0,46,71.94
22,7,1,0,S01,COKE,Beverage,25.3,0,0,1,0.0
23,7,1,0,S03,PEPSI,Beverage,29.1,1,0,11,18.84
0,8,1,0,S03,COKE,Beverage,20.5,0,1,8,13.84
1,8,1,0,S02,COKE,Beverage,26.5,0,0,9,12.99
2,8,1,0,S02,MILK,Dairy,24.3,0,0,12,13.77
3,8,1,0,S01,COKE,Beverage,25.0,0,0,15,26.88
4,8,1,0,S02,MILK,Dairy,20.1,0,0,9,17.38
5,8,1,0,S01,BREAD,Bakery,26.2,0,0,16,20.65
6,8,1,0,S03,BREAD,Bakery,23.1,0,0,60,49.81
7,8,1,0,S03,PEPSI,Beverage,23.9,0,0,26,41.66
8,8,1,0,S02,COKE,Beverage,24.3,1,0,22,40.03
9,8,1,0,S01,MILK,Dairy,27.3,0,0,25,29.0
10,8,1,0,S02,BREAD,Bakery,26.6,0,0,46,67.98
11,8,1,0,S01,PEPSI,Beverage,25.5,1,0,42,64.09
12,8,1,0,S02,COKE,Beverage,19.6,0,1,66,114.65
13,8,1,0,S03,COKE,Beverage,31.1,0,0,54,67.6
14,8,1,0,S01,PEPSI,Beverage,28.4,1,1,66,79.43
15,8,1,0,S02,COKE,Beverage,25.3,0,0,36,61.66
16,8,1,0,S03,PEPSI,Beverage,23.5,0,0,41,46.45
17,8,1,0,S01,COKE,Beverage,19.5,0,0,26,44.33
18,8,1,0,S03,MILK,Dairy,26.2,0,0,42,70.65
19,8,1,0,S02,COKE,Beverage,26.0,0,0,48,79.57
20,8,1,0,S03,COKE,Beverage,25.6,0,0,64,82.09
21,8,1,0,S01,PEPSI,Beverage,23.0,1,0,68,78.01
22,8,1,0,S02,COKE,Beverage,27.5,0,0,7,8.47
23,8,1,0,S02,PEPSI,Beverage,23.6,0,0,1,0.0
0,9,1,0,S01,MILK,Dairy,22.1,1,0,8,9.72
1,9,1,0,S02,PEPSI,Beverage,23.2,0,0,3,3.54
2,9,1,0,S01,COKE,Beverage,23.6,0,0,19,25.75
3,9,1,0,S02,PEPSI,Beverage,26.1,1,0,9,13.33
4,9,1,0,S01,BREAD,Bakery,20.4,0,0,17,22.11
5,9,1,0,S02,BREAD,Bakery,25.3,0,0,18,23.0
6,9,1,0,S01,MILK,Dairy,23.9,1,0,30,36.05
7,9,1,0,S01,BREAD,Bakery,21.9,0,0,34,39.71
8,9,1,0,S02,PEPSI,Beverage,22.2,0,0,38,57.53
9,9,1,0,S02,BREAD,Bakery,23.5,1,0,33,38.12
10,9,1,0,S02,COKE,Beverage,27.8,0,0,58,83.73
11,9,1,0,S02,COKE,Beverage,32.8,1,0,41,64.12
12,9,1,0,S03,PEPSI,Beverage,26.8,0,0,65,86.34
13,9,1,0,S03,COKE,Beverage,28.7,1,0,40,58.73
14,9,1,0,S02,BREAD,Bakery,20.8,0,0,96,81.94
15,9,1,0,S01,PEPSI,Beverage,24.4,0,0,27,41.52
16,9,1,0,S03,PEPSI,Beverage,21.0,0,0,54,60.73
17,9,1,0,S01,MILK,Dairy,20.1,1,0,24,49.46
18,9,1,0,S02,PEPSI,Beverage,23.2,0,0,40,55.48
19,9,1,0,S03,MILK,Dairy,22.5,1,1,40,76.61
20,9,1,0,S01,MILK,Dairy,28.6,0,0,30,62.85
21,9,1,0,S03,COKE,Beverage,24.0,1,0,41,55.49
22,9,1,0,S01,COKE,Beverage,30.1,0,0,14,22.72
23,9,1,0,S02,PEPSI,Beverage,20.4,0,0,14,20.03
0,10,1,0,S03,MILK,Dairy,25.2,1,0,6,11.41
1,10,1,0,S01,MILK,Dairy,27.4,0,0,1,0.56
2,10,1,0,S02,COKE,Beverage,25.6,0,0,9,16.67
3,10,1,0,S01,COKE,Beverage,26.9,0,0,2,3.57
4,10,1,0,S02,PEPSI,Beverage,20.2,0,0,15,24.31
5,10,1,0,S01,COKE,Beverage,23.2,0,0,6,11.73
6,10,1,0,S03,PEPSI,Beverage,27.4,0,0,30,46.09
7,10,1,0,S01,BREAD,Bakery,29.0,0,0,51,60.86
8,10,1,0,S01,COKE,Beverage,18.5,1,0,44,57.68
9,10,1,0,S02,PEPSI,Beverage,25.0,0,0,41,66.2
10,10,1,0,S01,COKE,Beverage,21.5,0,0,39,59.67
11,10,1,0,S03,BREAD,Bakery,27.0,0,0,90,73.25
12,10,1,0,S03,BREAD,Bakery,24.2,0,0,49,71.42
13,10,1,0,S02,BREAD,Bakery,24.9,1,0,43,44.5
14,10,1,0,S03,MILK,Dairy,19.3,0,0,51,67.72
15,10,1,0,S02,COKE,Beverage,21.8,0,0,38,50.63
16,10,1,0,S03,MILK,Dairy,23.3,0,0,43,47.78
17,10,1,0,S02,COKE,Beverage,26.4,1,1,20,33.23
18,10,1,0,S01,PEPSI,Beverage,29.0,0,0,60,79.22
19,10,1,0,S02,MILK,Dairy,26.0,1,0,35,66.1
20,10,1,0,S03,PEPSI,Beverage,26.8,1,0,56,66.81
21,10,1,0,S01,BREAD,Bakery,24.8,0,0,77,78.43
22,10,1,0,S03,MILK,Dairy,26.7,1,0,1,0.0
23,10,1,0,S01,PEPSI,Beverage,27.0,0,0,1,0.0
0,11,1,1,S01,COKE,Beverage,26.2,0,0,18,31.54
1,11,1,1,S01,COKE,Beverage,20.1,0,0,22,35.31
2,11,1,1,S01,COKE,Beverage,26.5,1,0,18,25.25
3,11,1,1,S02,BREAD,Bakery,19.0,0,0,14,21.29
4,11,1,1,S02,PEPSI,Beverage,30.0,0,0,16,23.69
5,11,1,1,S01,COKE,Beverage,28.9,1,0,15,22.54
6,11,1,1,S03,MILK,Dairy,24.9,0,0,27,59.09
7,11,1,1,S02,COKE,Beverage,27.6,1,0,47,59.64
8,11,1,1,S02,PEPSI,Beverage,26.3,0,0,57,68.36
9,11,1,1,S01,PEPSI,Beverage,24.1,0,0,46,60.92
10,11,1,1,S01,COKE,Beverage,28.9,1,0,45,78.39
11,11,1,1,S02,BREAD,Bakery,26.1,0,0,88,101.77
12,11,1,1,S01,PEPSI,Beverage,31.6,0,0,68,104.31
13,11,1,1,S03,MILK,Dairy,26.7,0,1,93,110.8
14,11,1,1,S03,PEPSI,Beverage,25.3,0,0,74,102.97
15,11,1,1,S01,MILK,Dairy,21.9,0,0,42,58.27
16,11,1,1,S03,COKE,Beverage,26.5,1,0,41,61.98
17,11,1,1,S03,MILK,Dairy,25.7,0,0,34,45.55
18,11,1,1,S03,PEPSI,Beverage,20.0,0,0,90,110.06
19,11,1,1,S01,PEPSI,Beverage,29.9,0,0,71,96.51
20,11,1,1,S01,BREAD,Bakery,22.7,0,0,66,82.15
21,11,1,1,S01,COKE,Beverage,20.4,0,0,73,106.62
22,11,1,1,S03,COKE,Beverage,24.6,1,0,17,25.49
23,11,1,1,S02,BREAD,Bakery,27.6,1,0,19,21.66
0,12,1,1,S02,PEPSI,Beverage,27.6,1,0,6,7.64
1,12,1,1,S01,PEPSI,Beverage,22.0,0,0,11,19.19
2,12,1,1,S03,COKE,Beverage,21.4,0,0,12,19.1
3,12,1,1,S01,COKE,Beverage,22.4,0,0,1,0.0
4,12,1,1,S01,MILK,Dairy,28.4,0,0,2,5.37
5,12,1,1,S02,MILK,Dairy,24.7,0,0,12,25.79
6,12,1,1,S01,BREAD,Bakery,24.6,0,0,45,68.26
7,12,1,1,S03,COKE,Beverage,27.4,0,0,63,77.28
8,12,1,1,S01,MILK,Dairy,21.0,0,0,25,45.53
9,12,1,1,S03,BREAD,Bakery,28.7,0,0,33,36.47
10,12,1,1,S03,MILK,Dairy,27.8,0,0,38,83.22
11,12,1,1,S03,PEPSI,Beverage,24.4,0,0,58,96.33
12,12,1,1,S02,COKE,Beverage,24.8,1,0,38,67.33
13,12,1,1,S02,BREAD,Bakery,22.5,0,0,83,89.77
14,12,1,1,S02,PEPSI,Beverage,25.9,0,0,86,95.84
15,12,1,1,S01,BREAD,Bakery,21.4,0,0,59,69.85
16,12,1,1,S01,COKE,Beverage,26.1,1,0,48,67.99
17,12,1,1,S02,BREAD,Bakery,25.9,0,0,32,41.33
18,12,1,1,S03,PEPSI,Beverage,25.1,0,0,57,82.58
19,12,1,1,S01,COKE,Beverage,19.3,0,0,57,98.28
20,12,1,1,S03,COKE,Beverage,23.1,0,1,104,141.28
21,12,1,1,S01,BREAD,Bakery,28.9,1,0,50,65.97
22,12,1,1,S03,BREAD,Bakery,23.5,0,0,8,6.45
23,12,1,1,S02,PEPSI,Beverage,20.7,1,0,2,4.54
0,13,1,0,S01,PEPSI,Beverage,22.5,0,0,1,0.0
1,13,1,0,S01,PEPSI,Beverage,30.0,1,0,3,4.49
2,13,1,0,S01,COKE,Beverage,25.5,0,0,5,6.64
3,13,1,0,S02,BREAD,Bakery,24.3,0,0,11,14.61
4,13,1,0,S03,COKE,Beverage,22.0,0,0,10,18.86
5,13,1,0,S01,BREAD,Bakery,25.2,0,0,20,26.57
6,13,1,0,S01,PEPSI,Beverage,23.3,0,0,31,48.29
7,13,1,0,S02,COKE,Beverage,26.4,0,0,24,39.18
8,13,1,0,S03,PEPSI,Beverage,27.6,0,0,40,58.76
9,13,1,0,S02,PEPSI,Beverage,26.5,0,0,27,41.45
10,13,1,0,S03,COKE,Beverage,23.8,0,0,53,80.29
11,13,1,0,S01,PEPSI,Beverage,25.5,0,1,65,108.32
12,13,1,0,S03,COKE,Beverage,24.2,0,0,53,65.01
13,13,1,0,S02,PEPSI,Beverage,27.7,0,0,50,68.07
14,13,1,0,S01,COKE,Beverage,22.8,0,1,63,100.16
15,13,1,0,S03,COKE,Beverage,21.1,0,0,29,39.05
16,13,1,0,S03,MILK,Dairy,28.5,0,0,24,38.73
17,13,1,0,S01,PEPSI,Beverage,26.3,1,0,25,32.97
18,13,1,0,S01,MILK,Dairy,22.5,0,0,28,62.11
19,13,1,0,S01,PEPSI,Beverage,28.0,0,0,35,52.16
20,13,1,0,S02,PEPSI,Beverage,24.3,1,0,58,71.5
21,13,1,0,S02,PEPSI,Beverage,24.6,0,0,54,86.19
22,13,1,0,S02,MILK,Dairy,25.2,0,0,8,12.53
23,13,1,0,S01,MILK,Dairy,29.7,0,1,17,20.6
0,14,1,0,S03,PEPSI,Beverage,23.5,0,0,5,8.11
1,14,1,0,S01,BREAD,Bakery,22.3,0,0,13,14.65
2,14,1,0,S03,PEPSI,Beverage,22.6,0,0,1,0.0
3,14,1,0,S03,MILK,Dairy,28.8,1,0,1,3.13
4,14,1,0,S03,MILK,Dairy,25.1,0,0,18,22.32
5,14,1,0,S03,COKE,Beverage,24.2,0,0,15,19.83
6,14,1,0,S01,MILK,Dairy,22.1,0,0,42,46.74
7,14,1,0,S01,MILK,Dairy,22.4,0,0,47,53.92
8,14,1,0,S02,COKE,Beverage,26.2,1,1,28,48.28
9,14,1,0,S02,PEPSI,Beverage,25.9,0,0,29,49.25
10,14,1,0,S02,BREAD,Bakery,25.8,0,0,54,74.82
11,14,1,0,S02,PEPSI,Beverage,23.6,1,0,42,56.98
12,14,1,0,S02,COKE,Beverage,22.6,0,0,52,81.09
13,14,1,0,S01,COKE,Beverage,26.3,1,1,53,87.82
14,14,1,0,S02,PEPSI,Beverage,22.2,0,0,69,80.04
15,14,1,0,S03,BREAD,Bakery,25.4,0,0,78,64.39
16,14,1,0,S01,COKE,Beverage,26.5,0,0,30,51.8
17,14,1,0,S01,BREAD,Bakery,26.2,0,0,48,42.59
18,14,1,0,S02,PEPSI,Beverage,23.3,1,0,29,46.79
19,14,1,0,S03,MILK,Dairy,24.9,1,0,41,47.97
20,14,1,0,S01,BREAD,Bakery,27.5,0,0,60,72.45
21,14,1,0,S03,COKE,Beverage,27.0,1,0,36,56.14
22,14,1,0,S01,PEPSI,Beverage,25.3,1,0,5,6.2
23,14,1,0,S01,BREAD,Bakery,27.0,1,0,18,26.08
0,15,1,0,S01,PEPSI,Beverage,26.7,0,0,27,37.53
1,15,1,0,S03,MILK,Dairy,26.1,0,0,21,26.68
2,15,1,0,S01,COKE,Beverage,27.9,0,0,13,20.01
3,15,1,0,S03,MILK,Dairy,23.0,0,0,1,0.0
4,15,1,0,S01,PEPSI,Beverage,29.8,0,0,22,28.15
5,15,1,0,S03,MILK,Dairy,24.3,0,0,2,4.32
6,15,1,0,S02,BREAD,Bakery,25.1,0,0,63,61.95
7,15,1,0,S01,COKE,Beverage,23.2,1,0,22,39.63
8,15,1,0,S01,COKE,Beverage,20.8,0,0,37,49.17
9,15,1,0,S01,COKE,Beverage,24.1,0,0,28,42.48
10,15,1,0,S03,PEPSI,Beverage,24.5,1,0,57,66.71
11,15,1,0,S03,BREAD,Bakery,28.2,0,0,45,67.71
12,15,1,0,S01,BREAD,Bakery,22.9,0,0,36,52.36
13,15,1,0,S01,COKE,Beverage,20.3,0,0,49,83.95
14,15,1,0,S01,BREAD,Bakery,23.9,0,0,57,73.26
15,15,1,0,S01,BREAD,Bakery,28.4,0,0,65,66.99
16,15,1,0,S01,BREAD,Bakery,30.3,0,0,28,34.35
17,15,1,0,S02,PEPSI,Beverage,24.1,0,0,33,46.83
18,15,1,0,S03,MILK,Dairy,26.0,0,0,55,82.76
19,15,1,0,S01,COKE,Beverage,23.3,0,0,65,81.18
20,15,1,0,S01,PEPSI,Beverage,24.1,1,0,43,70.84
21,15,1,0,S02,MILK,Dairy,23.3,0,0,26,50.46
22,15,1,0,S03,MILK,Dairy,24.2,0,0,7,12.0
23,15,1,0,S01,BREAD,Bakery,22.1,1,0,5,6.5
0,16,1,0,S03,BREAD,Bakery,24.5,0,0,5,6.36
1,16,1,0,S02,MILK,Dairy,30.7,1,0,5,5.58
2,16,1,0,S03,BREAD,Bakery,24.7,1,1,17,19.21
3,16,1,0,S02,BREAD,Bakery,19.6,0,0,6,9.95
4,16,1,0,S01,BREAD,Bakery,25.7,0,0,22,22.54
5,16,1,0,S03,PEPSI,Beverage,20.4,0,0,1,0.14
6,16,1,0,S01,COKE,Beverage,29.7,0,0,38,52.5
7,16,1,0,S01,BREAD,Bakery,25.1,0,0,23,31.78
8,16,1,0,S03,COKE,Beverage,21.8,0,0,35,52.39
9,16,1,0,S03,COKE,Beverage,28.3,0,0,48,69.58
10,16,1,0,S01,COKE,Beverage,26.6,1,0,40,62.71
11,16,1,0,S02,COKE,Beverage,23.4,0,0,60,74.51
12,16,1,0,S01,PEPSI,Beverage,25.1,1,0,47,66.54
13,16,1,0,S03,PEPSI,Beverage,34.8,0,0,42,62.56
14,16,1,0,S01,BREAD,Bakery,28.2,0,0,50,69.73
15,16,1,0,S03,BREAD,Bakery,26.7,1,0,26,36.9
16,16,1,0,S01,COKE,Beverage,26.8,0,0,17,20.6
17,16,1,0,S02,COKE,Beverage,31.7,0,0,38,54.6
18,16,1,0,S03,MILK,Dairy,29.3,0,0,29,65.16
19,16,1,0,S03,PEPSI,Beverage,26.5,1,0,43,67.16
20,16,1,0,S01,BREAD,Bakery,26.0,1,0,46,60.71
21,16,1,0,S02,MILK,Dairy,26.4,0,0,24,45.19
22,16,1,0,S01,COKE,Beverage,22.9,0,0,12,18.36
23,16,1,0,S02,PEPSI,Beverage,27.9,1,0,18,24.36
0,17,1,0,S03,PEPSI,Beverage,23.6,1,0,3,5.02
1,17,1,0,S01,COKE,Beverage,23.8,0,0,1,1.17
2,17,1,0,S02,PEPSI,Beverage,30.4,1,0,19,24.39
3,17,1,0,S02,MILK,Dairy,21.7,0,0,1,2.59
4,17,1,0,S02,MILK,Dairy,19.5,1,0,9,9.92
5,17,1,0,S01,BREAD,Bakery,27.1,0,0,18,22.8
6,17,1,0,S01,PEPSI,Beverage,27.5,0,0,31,41.33
7,17,1,0,S03,COKE,Beverage,23.6,0,0,40,58.74
8,17,1,0,S01,PEPSI,Beverage,26.2,1,0,27,38.97
9,17,1,0,S01,MILK,Dairy,29.3,1,0,23,43.26
10,17,1,0,S01,COKE,Beverage,25.3,1,0,37,61.97
11,17,1,0,S01,PEPSI,Beverage,25.0,0,0,47,65.3
12,17,1,0,S02,MILK,Dairy,20.8,1,0,24,36.84
13,17,1,0,S01,MILK,Dairy,23.8,0,0,33,68.58
14,17,1,0,S01,MILK,Dairy,27.9,1,0,37,67.02
